acuracia,loss,frr,fpr, removed, n_clf, tp_removed
0.09825051553249518, 0.0, 0.8944041643372586, 0.40467750686587217, 0,0, 0
0.13483669260959222, 0.0, 0.8577688405730006, 0.39808845026722955, 0,0, 0
0.10051220647907935, 0.0, 0.8964268698209338, 0.5010541530900544, 0,0, 0
0.10882724672387414, 0.0, 0.8820520167767796, 0.5204990727907735, 2,6, 2
0.11587840085146012, 0.0, 0.8810454019315033, 0.517736251321709, 5,5, 5
0.10756336060666534, 0.0, 0.8984646514226098, 0.4027947150313684, 5,8, 5
0.13190979844342446, 0.0, 0.857678755762017, 0.41256165469731615, 4,6, 4
0.10111088937670458, 0.0, 0.8794034492067001, 0.5552580028238371, 1,3, 1
0.10716423867491519, 0.0, 0.8857861279912987, 0.5291501016832177, 5,7, 5
0.14674383024013837, 0.0, 0.8426323588689286, 0.391834856463184, 2,5, 2
0.10011308454732921, 0.0, 0.8808154998783678, 0.49117479569131467, 6,7, 6
0.12319563626687953, 0.0, 0.8734183327247994, 0.3887791664622502, 3,3, 3
0.1323089203751746, 0.0, 0.8545287501131095, 0.3528049626349655, 4,5, 4
0.13669926162442625, 0.0, 0.8511543191077153, 0.4773948413639843, 7,9, 7
0.13237544069713297, 0.0, 0.8779906967628383, 0.4307687254247741, 9,9, 9
0.15266413889443226, 0.0, 0.856814395289033, 0.3853668407120132, 7,7, 7
0.2290959888245859, 0.0, 0.7807950148433236, 0.26304735405693935, 5,6, 5
0.18392869021486064, 0.0, 0.7987931757191568, 0.2929496405391182, 6,6, 6
0.13703186323421807, 0.0, 0.8561789471708535, 0.42774850067760606, 4,5, 4
0.17175547129648108, 0.0, 0.8157064910860199, 0.31673109498159746, 4,4, 4
0.19330805561098915, 0.0, 0.8269465768690218, 0.3410225436487936, 3,3, 3
0.19330805561098915, 0.0, 0.7898047600564782, 0.3170967894746999, 8,8, 8
0.20574735581720216, 0.0, 0.7881484090579433, 0.2963061067232154, 7,7, 7
0.1731523980576066, 0.0, 0.8065430187217923, 0.3747720220771821, 8,8, 8
0.17534756868223242, 0.0, 0.8403492401298963, 0.3612864464566297, 7,7, 7
0.17634537351160778, 0.0, 0.8180000103880231, 0.3401943998990618, 8,9, 8
0.16024745559768508, 0.0, 0.8497399392556649, 0.3893330599154224, 9,9, 9
0.217787534091665, 0.0, 0.7716505256254655, 0.2932274691156729, 5,6, 5
0.19417281979644782, 0.0, 0.8472846206296871, 0.339559530797518, 9,9, 9
0.19477150269407303, 0.0, 0.8063503777404804, 0.3173633178662401, 5,5, 5
0.17834098317035854, 0.0, 0.8277292779708425, 0.32691349076867904, 7,7, 7
0.24685691478746757, 0.0, 0.7420082491039236, 0.26086871150080876, 6,6, 6
0.18938335661544603, 0.0, 0.8469967116000079, 0.34759486443886806, 8,8, 8
0.19124592563028006, 0.0, 0.8044188294640793, 0.3665304833133598, 7,7, 7
0.17548060932614915, 0.0, 0.7993285764718313, 0.39111659658438674, 6,6, 6
0.26940730393135104, 0.0, 0.734323371858763, 0.25279206240942315, 6,6, 6
0.205348233885452, 0.0, 0.7688075317760584, 0.3080726944818559, 8,8, 8
0.24705647575334264, 0.0, 0.7420360070169255, 0.2623803618599214, 5,5, 5
0.2458591099580922, 0.0, 0.7420782869818143, 0.27879359706797724, 9,9, 9
0.23887447615246457, 0.0, 0.7648600008735146, 0.2808760444274997, 7,7, 7
0.17421672320894033, 0.0, 0.8586112215935678, 0.39432399650577893, 7,7, 7
0.21279850994478813, 0.0, 0.774520820440231, 0.30921622745274513, 7,7, 7
0.24126920774296548, 0.0, 0.7462784293474428, 0.2988357231650916, 6,6, 6
0.16716556908135435, 0.0, 0.8453005709957765, 0.42495212515648395, 7,7, 7
0.2037517461584514, 0.0, 0.8205524237208164, 0.3673020931362756, 6,6, 6
0.19111288498636333, 0.0, 0.8204869069002335, 0.36502844398106943, 11,11, 11
0.21978314375041574, 0.0, 0.823082432323688, 0.328385790426854, 7,7, 7
0.2632209139892237, 0.0, 0.7242375206553191, 0.2717541583210611, 8,8, 8
0.26761125523847534, 0.0, 0.7160551095938557, 0.25766636750143523, 8,8, 8
0.3099847003259496, 0.0, 0.7103456292384827, 0.2427692835740397, 5,5, 5
0.2689416616776425, 0.0, 0.7131156435153119, 0.2582372773577493, 4,4, 4
0.26508348300405776, 0.0, 0.7466636226416796, 0.2820982797169583, 6,6, 6
0.3116477083749085, 0.0, 0.7110742639682818, 0.23760137136605167, 2,2, 2
0.27506153129781147, 0.0, 0.7179877934031664, 0.25409497818806975, 6,6, 6
0.2828444089669394, 0.0, 0.6995544910448078, 0.25539428676630327, 8,8, 8
0.31337723674582585, 0.0, 0.6909877794281004, 0.24093584527111273, 7,7, 7
0.28484001862569014, 0.0, 0.6927681307912035, 0.2668573733579157, 7,7, 7
0.27366460453668595, 0.0, 0.7392709159692444, 0.2696184860311864, 7,7, 7
